INDPRO_IRF_q50,UNRATE_IRF_q50,CPIAUCSL_IRF_q50,CRBPI_IRF_q50,EBP_IRF_q50,GS1_IRF_q50,INDPRO_IRF_q05,UNRATE_IRF_q05,CPIAUCSL_IRF_q05,CRBPI_IRF_q05,EBP_IRF_q05,GS1_IRF_q05,INDPRO_IRF_q95,UNRATE_IRF_q95,CPIAUCSL_IRF_q95,CRBPI_IRF_q95,EBP_IRF_q95,GS1_IRF_q95
-0.97893923757221,0.0379996300802262,-0.280061614492671,-0.968027021493919,0.247351695285601,1,-1.30666800570553,-0.0144398332946317,-0.411545675297817,-1.9260837359632,0.15706662500079,1,-0.732905137160264,0.0921550281046171,-0.206866821997098,-0.138119655643393,0.352745612628881,1
-0.854258880484367,0.0464916317925672,-0.361133252890998,-1.51844907876432,0.185511648345808,0.876191403813558,-1.21427332019222,-0.01184061692337,-0.538991314200269,-2.93361294867892,0.106189761309692,0.734433923978256,-0.585763431525816,0.116005771569154,-0.256543995033496,-0.417022259938903,0.288051098830466,0.999586419861003
-0.905070728792683,0.0761210155982866,-0.407581598871613,-2.08018137914394,0.185939500879873,0.712096767592063,-1.32287259079756,0.0152204193419139,-0.613867270430114,-3.56360419722484,0.107883521374676,0.514338089996406,-0.591830698543858,0.153490295818146,-0.282748131710544,-0.851730431717577,0.28929134844931,0.909181161765786
-1.08577838407329,0.115707899079791,-0.428209467498596,-2.35920175793771,0.17777843104091,0.593477271442926,-1.56236130778147,0.042385836127414,-0.660161278704262,-4.08649292822322,0.0948712236997839,0.379866616147628,-0.70905098175466,0.202428900658849,-0.288242451508026,-0.997363061285004,0.286545820370126,0.834274438063245
-1.26981383731054,0.153796328686119,-0.434263160364208,-2.39617323018994,0.162392736826898,0.482036840885166,-1.78455892032479,0.0732380685478097,-0.682936546327845,-4.21708207557633,0.0768641025103847,0.245567267980177,-0.857750850616324,0.25289746328918,-0.287064905405058,-0.892214804049515,0.277757462828128,0.743737610265089
-1.41033640292611,0.187998049747282,-0.441248413340861,-2.29570812405689,0.145580090642798,0.419845020165091,-1.96059943470547,0.0974389834577004,-0.716890741659468,-4.26684596949719,0.0484274900261234,0.164529904615599,-0.936761939808206,0.296148228196233,-0.283360253724387,-0.627659875981354,0.26380957410396,0.697164406195078
-1.51555955119778,0.216529598316516,-0.460733040999619,-2.07367401691759,0.125736620731994,0.364508076262328,-2.13497294828874,0.115898962021972,-0.759505563157442,-4.0291781480836,0.0233032163498347,0.100628612729248,-1.02534565868849,0.338414970697432,-0.288413419856513,-0.231620882354202,0.245210627623545,0.662260164993877
-1.58368222595052,0.240883402226593,-0.483241529118098,-1.80158457166958,0.0980172463289507,0.30142844510921,-2.23872825113957,0.13058778577636,-0.802821229307234,-3.83268558883776,-0.0111894825392791,0.0368973346981413,-1.04487211147778,0.374264282207079,-0.285087277311905,0.203676517065383,0.219859522556405,0.607226723086455
-1.62629159386264,0.261905270810656,-0.50157314673074,-1.49182554749417,0.076791847849471,0.265691752321372,-2.31609144854693,0.139453109674357,-0.825663563610506,-3.64415488144434,-0.031330017900708,0.00127692256242587,-1.03396120362437,0.412822490010638,-0.289555459602344,0.564481170989391,0.196224888822845,0.581870326026499
-1.6427851313607,0.277169500177662,-0.512843118680606,-1.21387803821198,0.0600052720156759,0.236021047454177,-2.35754676168703,0.143250190073281,-0.841799467654728,-3.48830972748905,-0.0490840072616791,-0.0279762217167509,-1.01390938425944,0.438621880277417,-0.279307923265177,0.895126212419574,0.179423142059487,0.56288926355476
-1.63380598827998,0.289220507342838,-0.520158174829925,-1.02387035806946,0.0467474884680113,0.210407595652955,-2.39796209493634,0.147232941125575,-0.866999875528474,-3.37243043751588,-0.0651143953182874,-0.0453446627198776,-0.989801760835571,0.455338061834081,-0.270556693089437,1.1711259334214,0.168677901138388,0.5298402244615
-1.62330471372141,0.298297339670822,-0.530846914628812,-0.893359895912969,0.0391364849935357,0.18502403871202,-2.44919189771108,0.153866855692329,-0.893118975189801,-3.33991467828249,-0.0741334649069682,-0.0641778727680314,-0.9283608117138,0.475084123130008,-0.269488305070006,1.29954152527665,0.159376569333501,0.49484524906405
-1.61505158836592,0.305355044246181,-0.545272836810339,-0.819291319773988,0.0351801000737321,0.144624165401897,-2.45493478807678,0.156307976235339,-0.911675513944435,-3.26397420837657,-0.0752239437602139,-0.0988038083979464,-0.902597394275096,0.486587943705007,-0.279634453172933,1.34362385955943,0.149969920900284,0.452099707965709
-1.6072792573776,0.310847687780396,-0.561054085029007,-0.743926532591312,0.0317874261687029,0.105155628471828,-2.47025730767835,0.159020263361116,-0.929863333541708,-3.27890898391561,-0.0754150460458716,-0.136035165804952,-0.892039932835628,0.506521828879776,-0.279737294395395,1.49239075639639,0.140224294976019,0.412339972706334
